movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Fauda,"The human stories on both sides of the Israel-Palestine conflict.
Note: This show is in Hebrew  Language but with hardcoded English Subtitles.","Lior Raz, Itzik Cohen, Neta Garty","Action, Drama, Thriller ",1 Hour,86163,4.25,1,84
BlackAF,A father takes an irreverent and honest approach to parenting and relationships.,"Rashida Jones, Kenya Barris, Iman Benson",Comedy ,40 Minutes,84908,4.97,1,85
Gravesend,"A 1980s series of events revolving around Benny Zerletta (William DeMeo), a Brooklyn based Italian-American, soldier in the Colezzo crime family. Benny depicts the difficulties that he faces with family and growing up in the footsteps of his cousin, who behind closed doors was the leader of a criminal organization in GRAVESEND.","Christina DeRosa, Ken Lerner, Paul Ben-Victor",Drama ,42 Minutes,48308,5,1,86
Mrs America,Conservative activist Phyllis Schlafly leads an unexpected fight against the Equal Rights Amendment movement during the 1970s.,"Uzo Aduba, Elizabeth Banks, Cate Blanchett","Biography, Drama, History ",1 Hour,69250,4.81,1,87
Outer Banks,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"Chase Stokes, Madison Bailey, Madelyn Cline","Action, Crime, Drama ",50 Minutes,88103,4.91,1,88
Quiz,"Quiz tells the story of Charles Ingram, a former British army major, who caused a major scandal after being caught cheating his way to winning Â£1 million on the game show Who Wants To Be A Millionaire?","Matthew Macfadyen, Sian Clifford, Mark Bonnar",Drama ,50 Minutes,50703,4.71,1,89
The Baker and the Beauty,A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series The Baker and the Beauty.,"Nathalie Kelley, Victor Rasuk, Carlos GÃ³mez","Comedy, Drama, Musical ",42 Minutes,197961,4.92,1,90
Run,Two ex-lovers activate a long-planned escape to disappear together.,"Archie Panjabi, Tamara Podemski, Phoebe Waller-Bridge","Comedy, Romance, Thriller ",30 Minutes,158913,4.64,1,91
Alef,"Two detectives try to unravel the mystery of the murders that followed the discovery of a body in the Bosphorus.
Note: This show is in Turkish  Language with hardcoded English Subtitles.","Kenan Imirzalioglu, Ahmet Mumtaz Taylan, Melisa Sozen","Action, Crime, Drama ",53 Minutes,134765,4.86,1,92
Brews Brothers,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.","Mike Castle, Alan Aisenberg, Carmen Flood",Comedy ,30 Minutes,52487,5,1,93
The Big Show Show,"When the teenage daughter of Big Show, comes to live with him, his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.","Paul Wight, Allison Munn, Reylynn Caster",Comedy ,30 Minutes,46366,4.64,1,94
Home Before Dark,A young girl from the big city uncovers clues to an unsolved cold case while visiting her fathers small lakeside town.,"Mila Morgan, Brooklynn Prince, Kylie Rogers","Drama, Mystery ",50 Minutes,66404,4.86,1,95
Tales from the Loop,"The townspeople who live above The Loop, a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction.","Daniel Zolghadri, Rebecca Hall, Paul Schneider",Sci-Fi ,1 Hour,54535,4.31,1,96
Broke,A trust fund baby who is cut off by his dad is forced to move in with his wifes estranged sister.,"Jaime Camil, Antonio Raul Corbo, Izzy Diaz",Comedy ,21 Minutes,162169,4.9,1,97
Save Me,"On a tireless quest to find his missing daughter Jody, Nelly will go to any length to uncover the truth and he will discover more about himself and those around him than he could have ever imagined.","Lennie James, Stephen Graham, Suranne Jones","Drama, Mystery ",50 Minutes,46111,4.69,1,98
Three Busy Debras,Three housewives live in a wealthy Connecticut suburb that exists outside reality for the rest of the world.,"Mitra Jouhari, Alyssa Stonoha, Catherine Cohen",Comedy ,20 Minutes,59562,4.13,1,99
Almost Paradise,A former DEA agent forced into early retirement runs a gift shop in in the Philippines.,"Arthur Acuna, Nonie Buencamino, Christian Kane","Crime, Drama ",42 Minutes,108824,4.94,1,100
Manhunt - Unabomber,"An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber.","Cameron Britton, Sam Worthington, Jeremy Bobb","Crime, Drama ",1 Hour,125805,4.64,2,101
Mirage,"Claire lost her husband Gabriel, her fathers son, during the tsunami in 2004. Recently settled in Abu Dhabi, she sees Gabriels reflection in a window at a restaurant. She doesnt know it yet but it's going to be a very long journey.","Marie-Josee Croze, Clive Standen, Hannes Jaenicke","Drama, Thriller ",1 Hour,84546,4.65,1,102
Danger Force,Captain Man has a new crew of superhero sidekicks - Danger Force. Captain Man and Schwoz create a fake school to train the kids to harness their uncontrollable superpowers to fight crime.,"Cooper Barnes, Michael D. Cohen, Havan Flores",Comedy ,30 Minutes,167424,4.76,1,103
Vagrant Queen,"This follows Elida from child queen to orphaned outcast, as she scavenges the treacherous corners of the galaxy, always one step ahead of the Republic government out to extinguish her bloodline. When her old friend Isaac shows up claiming her mother Xevelyn is still alive, they head off with their new ally, Amae, to stage a rescue that will take her back into the perilous heart of her former kingdom and up against a deadly foe from her childhood, Commander Lazaro.","Adriyan Rae, Alex McGregor, Paul du Toit","Adventure, Sci-Fi ",1 Hour,177337,4.98,1,104
Friday Night Dinner,"Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.","Tamsin Greig, Simon Bird, Paul Ritter",Comedy ,24 Minutes,44847,4.92,1,105
Hitmen,"Fran and Jamie are best friends and business partners - they just happen to kill people for a living. Having stumbled into a career in contract killing, the misfit duo are definitely not your typical killers for hire.","Mel Giedroyc, Sue Perkins, Tonya Cornelisse","Comedy, Crime ",30 Minutes,144828,4.88,1,106
Babylon Berlin,"Colognian commissioner Gereon Rath moves to Berlin, the epicenter of political and social changes in the Golden Twenties.
Note: This show is in German  Language with hardcoded English Subtitles.","Volker Bruch, Liv Lisa Fries, Leonie Benesch","Crime, Drama, Thriller ",45 Minutes,59857,5,1,107
Our Girl,"The series follows Molly on her first deployment as a serving army medic against the backdrop of the British Armys withdrawal from Afghanistan. Series 2 introduces Georgie, her more experienced friend, as she is deployed to Eastern Africa.","Michelle Keegan, Ben Aldridge, Simon Lennon","Action, Drama, Thriller ",1 Hour,88878,4.09,1,108
Council of Dads,A man comes to terms with a potentially terminal diagnosis.,"Thalia Tran, Michele Weaver, Hilarie Burton",Drama ,42 Minutes,89296,4.97,1,109
The Nest,A teenage girl in Glasgow agrees to carry a baby for couple Dan and Emily.,"Liz Ewing, Christopher McPhillips, Samuel Paul Small",Thriller ,1 Hour,99381,5,1,110
Vampires,"A Paris teen whos half human, half vampire grapples with her emerging powers and family turmoil as shes pursued by a secret vampire community.
Note: This show is in French  Language with hardcoded English Subtitles.","Kate Moran, Mounir Amamra, Juliette Cardinski","Drama, Fantasy, Horror ",42 Minutes,212130,4.79,1,111
Self Made,The inspiring story of trailblazing African American entrepreneur Madam C.J. Walker who built a haircare empire that made her Americas first female self-made millionaire.,"Octavia Spencer, Tiffany Haddish, Carmen Ejogo",Drama ,45 Minutes,76922,4.78,1,112
